"Name","Image","URL","Rating","Review Count","Neighbourhood","Tags","Price Range","Services"
"Girl & The Goat","https://s3-media0.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/348s.jpg","https://www.yelp.com/biz/girl-and-the-goat-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","New American; Bakeries; Coffee & Tea","$$$","Outdoor seating; Delivery; Takeout"
"The Dearborn","https://s3-media0.fl.yelpcdn.com/bphoto/eSXeGiq2bRUjy7KOER4jeg/348s.jpg","https://www.yelp.com/biz/the-dearborn-chicago-2?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","New American; Breakfast & Brunch; Beer, Wine & Spirits","$$","Outdoor seating; Takeout"
"The Purple Pig","https://s3-media0.fl.yelpcdn.com/bphoto/8993TKAeJ2rhDST6tuqh4A/348s.jpg","https://www.yelp.com/biz/the-purple-pig-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Tapas/Small Plates; Mediterranean; New American","$$$","Delivery; Takeout"
"Penumbra","https://s3-media0.fl.yelpcdn.com/bphoto/2KoXY4qwg2vdy_dKmblDwQ/348s.jpg","https://www.yelp.com/biz/penumbra-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Wine Bars; Seafood; Steakhouses","$$$","Outdoor seating; Delivery; Takeout"
"No Vacancy","https://s3-media0.fl.yelpcdn.com/bphoto/DKEnONNHZxSvVjMHV8LqAw/348s.jpg","https://www.yelp.com/biz/no-vacancy-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","New American; Wine Bars; Beer, Wine & Spirits","$$","Outdoor seating; Delivery; Takeout"
"Kasama","https://s3-media0.fl.yelpcdn.com/bphoto/MuaZOoBHDYLoCNPHBHjjFg/348s.jpg","https://www.yelp.com/biz/kasama-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Filipino; Bakeries; New American","$$","Outdoor seating; Delivery; Takeout"
"Ciccio Mio","https://s3-media0.fl.yelpcdn.com/bphoto/l01TGj1gF2CzVA22oE79vQ/348s.jpg","https://www.yelp.com/biz/ciccio-mio-chicago-2?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Italian","$$$","Outdoor seating; Delivery; Takeout"
"Giant","https://s3-media0.fl.yelpcdn.com/bphoto/tlCBP2Nk0T3_Hp59ggbyDw/348s.jpg","https://www.yelp.com/biz/giant-chicago-2?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","New American; Beer Bar; Wine Bars","$$$","Outdoor seating; Delivery; Takeout"
"Aba","https://s3-media0.fl.yelpcdn.com/bphoto/pEnMDwUbnQeI3UnwkkSQzw/348s.jpg","https://www.yelp.com/biz/aba-chicago-2?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Mediterranean; Tapas/Small Plates","$$$","Outdoor seating; Delivery; Takeout"
"Daisies","https://s3-media0.fl.yelpcdn.com/bphoto/XwTq9tnvAWwsVmdZ8Fw7PA/348s.jpg","https://www.yelp.com/biz/daisies-chicago?osq=Restaurants","4.4 star rating","(10.1k reviews)","West Loop","Pasta Shops; New American; Cocktail Bars","$$$","Outdoor seating; Delivery; Takeout"
"Cindy’s Rooftop","https://s3-media0.fl.yelpcdn.com/bphoto/XLdHyZLsRMogjR4GNWCe-A/348s.jpg","https://www.yelp.com/biz/cindys-rooftop-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","New American; Seafood; Breakfast & Brunch","$$","Outdoor seating; Delivery; Takeout"
"Tama","https://s3-media0.fl.yelpcdn.com/bphoto/zPNeCsHHCFZv6F_8pGKZ6g/348s.jpg","https://www.yelp.com/biz/tama-chicago-2?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Greek; Bars","$$",""
"The Perch","https://s3-media0.fl.yelpcdn.com/bphoto/y36Dc58MtanAReDehpZWRg/348s.jpg","https://www.yelp.com/biz/the-perch-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Breweries; New American","$$","Outdoor seating; Delivery; Takeout"
"HIDE+SEEK","https://s3-media0.fl.yelpcdn.com/bphoto/teDMxMiqQMakvgJNT27X_A/348s.jpg","https://www.yelp.com/biz/hide-seek-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","New American; Cocktail Bars; Breakfast & Brunch","$$","Outdoor seating; Delivery; Takeout"
"Au Cheval","https://s3-media0.fl.yelpcdn.com/bphoto/td7RDAytLoNuPMlCQ6IuMw/348s.jpg","https://www.yelp.com/biz/au-cheval-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Bars; American","$$","Outdoor seating; Delivery; Takeout"
"Lone Owl Pub","https://s3-media0.fl.yelpcdn.com/bphoto/y-Ns5WZlilbc2sCLzyVWgw/348s.jpg","https://www.yelp.com/biz/lone-owl-pub-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Cocktail Bars; Lounges; Burgers","$$","Outdoor seating; Delivery; Takeout"
"Amaru","https://s3-media0.fl.yelpcdn.com/bphoto/tfmIEwKvIdytd-_ZBJnxyQ/348s.jpg","https://www.yelp.com/biz/amaru-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Latin American; Caribbean; Cocktail Bars","$$$","Outdoor seating; Delivery; Takeout"
"Izakaya Shinya","https://s3-media0.fl.yelpcdn.com/bphoto/eauRQNJdmPUFl06mxF_NPg/348s.jpg","https://www.yelp.com/biz/izakaya-shinya-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Ramen; Cocktail Bars; Izakaya","$$$","Outdoor seating; Delivery; Takeout"
"etta - Bucktown","https://s3-media0.fl.yelpcdn.com/bphoto/NgNi8BzRfdHeTGsZw9lbFg/348s.jpg","https://www.yelp.com/biz/etta-bucktown-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Pizza; New American; Breakfast & Brunch","$$$","Outdoor seating; Delivery; Takeout"
"Boeufhaus","https://s3-media0.fl.yelpcdn.com/bphoto/JdjZHqlAkka5I86ZshrB_g/348s.jpg","https://www.yelp.com/biz/boeufhaus-chicago?osq=Restaurants","4.1 star rating","(2.5k reviews)","The Loop","Brasseries; Cocktail Bars; Steakhouses","$$$","Outdoor seating; Delivery; Takeout"
"The VIG Chicago","https://s3-media0.fl.yelpcdn.com/bphoto/LTJQDXJAzGTfUuyRbhsb4A/348s.jpg","https://www.yelp.com/biz/the-vig-chicago-chicago-2?osq=Restaurants","4.1 star rating","(828 reviews)","Old Town","American; Cocktail Bars; Breakfast & Brunch","$$","Outdoor seating; Delivery; Takeout"
"The Whale Chicago","https://s3-media0.fl.yelpcdn.com/bphoto/PTPZJySRMPPN0pX0oKcyFw/348s.jpg","https://www.yelp.com/biz/the-whale-chicago-chicago?osq=Restaurants","4.1 star rating","(828 reviews)","Old Town","New American; Breakfast & Brunch; Cocktail Bars","$$","Outdoor seating; Delivery; Takeout"
"Nora Restaurant","https://s3-media0.fl.yelpcdn.com/bphoto/G5MrKYSmt88wwaEvmA2Teg/348s.jpg","https://www.yelp.com/biz/nora-restaurant-chicago?osq=Restaurants","4.1 star rating","(828 reviews)","Old Town","Mediterranean; Cocktail Bars; Seafood","$$","Outdoor seating; Delivery; Takeout"
"Qing Xiang Yuan Dumplings","https://s3-media0.fl.yelpcdn.com/bphoto/vvrsD5Qu6K3UBTq8j5qDag/348s.jpg","https://www.yelp.com/biz/qing-xiang-yuan-dumplings-chicago-3?osq=Restaurants","4.1 star rating","(828 reviews)","Old Town","Barbeque; Dim Sum; Coffee & Tea","$$","Outdoor seating; Delivery; Takeout"
